dstport,protocol,tag
62474,icmp,vpn
40487,icmp,db
1845,udp,vpn
25241,tcp,db
14810,tcp,SV_P3
40760,tcp,sv_P4
33372,tcp,SV_P3
55999,udp,sv_P5
46348,tcp,sv_P5
51436,tcp,email
23844,udp,sv_P4
15963,tcp,sv_P2
64079,icmp,vpn
3829,tcp,sv_P5
51220,udp,sv_P2
57707,icmp,sv_P1
34390,tcp,monitoring
14040,udp,email
7055,udp,monitoring
40277,udp,monitoring
38625,icmp,SV_P3
49741,tcp,web
52426,udp,sv_P4
2690,icmp,sv_P5
62019,icmp,sv_P2
10706,udp,web
52584,tcp,sv_P4
17233,udp,vpn
58775,udp,sv_P5
27500,tcp,web
6885,tcp,monitoring
18426,udp,SV_P3
43111,udp,SV_P3
33057,icmp,sv_P2
47048,udp,sv_P2
30489,udp,sv_P4
14281,tcp,sv_P4
60685,udp,sv_P5
14457,udp,email
32356,icmp,SV_P3
446,udp,web
40569,icmp,sv_P1
594,icmp,email
5541,tcp,SV_P3
53333,icmp,vpn
7512,tcp,email
46611,tcp,SV_P3
49391,udp,sv_P2
41513,icmp,sv_P4
11470,udp,SV_P3
33610,udp,vpn
6287,icmp,vpn
11145,udp,email
18045,tcp,db
8352,icmp,vpn
8131,udp,sv_P2
13166,udp,vpn
34699,icmp,SV_P3
57848,udp,sv_P2
28730,tcp,vpn
6065,udp,sv_P1
32766,tcp,sv_P5
46005,icmp,vpn
54444,tcp,SV_P3
61402,icmp,db
18741,icmp,monitoring
60182,udp,sv_P5
8862,tcp,sv_P1
21403,icmp,monitoring
53256,tcp,SV_P3
16554,udp,sv_P1
49350,icmp,monitoring
40166,tcp,sv_P5
6313,tcp,sv_P2
1234,icmp,sv_P1
58471,udp,db
44534,icmp,sv_P5
37936,tcp,sv_P1
6903,udp,monitoring
31114,tcp,monitoring
58361,udp,sv_P5
29146,tcp,vpn
62361,udp,sv_P2
54993,tcp,monitoring
23846,udp,sv_P4
34684,udp,monitoring
54263,tcp,SV_P3
65411,tcp,email
20685,tcp,sv_P5
1699,tcp,sv_P5
2752,icmp,sv_P4
23947,tcp,sv_P5
26761,icmp,sv_P5
11480,udp,sv_P1
12755,tcp,db
13003,icmp,db
21688,icmp,web
4055,tcp,vpn
30443,icmp,monitoring
32321,udp,db
18449,icmp,email
8821,udp,email
31374,udp,email
32782,icmp,sv_P1
40089,tcp,sv_P1
46502,tcp,monitoring
49269,udp,vpn
31941,tcp,vpn
27484,udp,web
34169,tcp,monitoring
32540,tcp,email
30924,udp,email
51303,udp,sv_P1
460,tcp,sv_P1
50470,udp,web
58915,tcp,monitoring
37003,tcp,SV_P3
40928,icmp,sv_P2
63242,tcp,SV_P3
29676,icmp,sv_P4
5950,tcp,sv_P1
61676,icmp,sv_P2
29864,udp,email
35003,icmp,sv_P4
42723,icmp,sv_P5
64209,tcp,vpn
40493,icmp,sv_P4
48071,tcp,sv_P2
26951,icmp,vpn
37563,udp,sv_P4
59605,udp,sv_P1
13673,tcp,monitoring
64174,icmp,sv_P5
34420,icmp,db
51165,udp,sv_P5
61568,udp,monitoring
12889,icmp,email
12199,udp,db
17719,tcp,db
61995,icmp,db
19233,udp,vpn
29223,tcp,sv_P5
39981,udp,vpn
63742,udp,sv_P5
63337,udp,monitoring
2763,icmp,sv_P5
12504,icmp,sv_P2
50357,icmp,sv_P2
702,udp,sv_P2
45135,udp,db
55303,udp,sv_P5
46353,icmp,monitoring
43123,udp,sv_P1
4985,icmp,web
35136,udp,web
29045,icmp,sv_P4
177,udp,db
46952,tcp,sv_P2
8378,icmp,monitoring
36380,icmp,vpn
65120,udp,sv_P4
48737,udp,web
39074,icmp,web
30929,udp,sv_P5
54693,icmp,sv_P4
23274,tcp,SV_P3
9694,icmp,sv_P5
28580,icmp,monitoring
34172,icmp,sv_P1
64757,udp,sv_P1
15538,udp,email
46700,tcp,sv_P4
60906,icmp,SV_P3
13480,tcp,sv_P4
40911,tcp,email
38324,tcp,sv_P5
18502,udp,monitoring
26900,tcp,web
17711,icmp,web
24006,udp,db
12654,icmp,web
35734,tcp,email
9869,icmp,SV_P3
33672,icmp,web
1709,udp,monitoring
25260,tcp,sv_P1
51356,tcp,vpn
52536,icmp,web
32355,icmp,monitoring
15754,tcp,sv_P5
64558,icmp,sv_P1
6419,udp,sv_P5
21307,icmp,db
9998,icmp,db
61657,udp,email
19892,icmp,email
7604,tcp,monitoring
61124,icmp,web
25848,icmp,SV_P3
54111,icmp,vpn
44988,tcp,monitoring
40663,udp,web
21808,udp,monitoring
56540,tcp,sv_P5
3987,udp,vpn
60342,icmp,sv_P1
52838,tcp,monitoring
31869,icmp,monitoring
1592,udp,vpn
21233,udp,sv_P5
20895,icmp,web
63619,udp,vpn
51361,tcp,sv_P5
5942,udp,sv_P2
2433,tcp,SV_P3
7415,icmp,sv_P5
858,icmp,sv_P5
37359,udp,sv_P1
20485,icmp,sv_P4
60410,udp,email
4129,tcp,vpn
62431,udp,vpn
63588,icmp,sv_P2
60668,udp,monitoring
60112,tcp,sv_P4
59941,udp,email
53682,tcp,vpn
47691,tcp,db
54584,tcp,vpn
64378,udp,sv_P1
26344,udp,web
63966,tcp,monitoring
50168,tcp,email
42159,udp,email
43714,udp,vpn
61227,icmp,sv_P4
5578,icmp,web
12324,icmp,db
40827,tcp,email
38609,tcp,sv_P4
26692,udp,SV_P3
27838,icmp,monitoring
18497,tcp,web
36328,udp,sv_P2
22924,icmp,sv_P1
60632,udp,sv_P5
10904,icmp,web
3938,icmp,sv_P1
6993,tcp,db
57998,udp,email
30398,udp,monitoring
7296,icmp,sv_P1
14609,icmp,monitoring
29760,tcp,vpn
11945,udp,sv_P5
16887,icmp,sv_P4
11351,tcp,sv_P2
20588,udp,monitoring
46812,icmp,sv_P4
18801,tcp,sv_P5
30969,tcp,sv_P4
45120,udp,db
53736,icmp,sv_P5
56624,udp,sv_P5
24725,tcp,sv_P5
5907,udp,sv_P4
45460,icmp,sv_P4
28618,tcp,sv_P4
24397,tcp,sv_P5
6017,icmp,email
23686,tcp,SV_P3
7324,udp,web
2876,tcp,sv_P1
8794,udp,vpn
52080,icmp,sv_P1
33255,icmp,sv_P4
63720,icmp,SV_P3
35935,udp,vpn
1237,tcp,web
11609,udp,sv_P2
34157,icmp,sv_P4
16526,icmp,SV_P3
19670,tcp,monitoring
27030,udp,sv_P1
32373,icmp,sv_P5
22277,icmp,SV_P3
54262,icmp,db
7036,icmp,sv_P5
31227,udp,sv_P4
58762,icmp,email
54273,icmp,sv_P1
23558,udp,db
1963,icmp,web
30198,tcp,sv_P5
33110,tcp,vpn
969,tcp,sv_P5
28075,tcp,sv_P2
54917,udp,sv_P2
57773,tcp,sv_P5
64292,udp,sv_P4
40024,tcp,db
234,tcp,monitoring
24351,udp,sv_P1
18326,tcp,SV_P3
48074,udp,sv_P2
15030,tcp,web
43314,icmp,monitoring
22475,udp,db
8909,icmp,sv_P4
54744,tcp,vpn
26566,tcp,web
4025,tcp,monitoring
49366,icmp,SV_P3
53683,udp,vpn
60006,tcp,monitoring
27892,icmp,monitoring
58477,udp,monitoring
50802,udp,email
57756,tcp,sv_P5
46132,udp,web
5450,icmp,sv_P1
32767,tcp,sv_P1
3827,icmp,sv_P5
59354,tcp,sv_P5
33101,tcp,email
29356,udp,sv_P1
64997,udp,SV_P3
62924,udp,sv_P5
57124,tcp,sv_P1
37023,icmp,sv_P2
47039,icmp,db
33433,icmp,sv_P2
49575,udp,SV_P3
40232,tcp,email
64109,tcp,monitoring
41696,icmp,db
24971,tcp,SV_P3
32651,tcp,email
30233,udp,sv_P5
26439,tcp,monitoring
54143,udp,email
45949,icmp,sv_P5
21525,tcp,sv_P4
811,udp,sv_P2
56482,tcp,sv_P2
3991,tcp,monitoring
17366,icmp,db
4893,tcp,monitoring
39231,tcp,web
28619,udp,sv_P4
22538,udp,sv_P4
24485,tcp,SV_P3
60165,tcp,vpn
52022,udp,web
59699,udp,web
11352,tcp,sv_P1
57080,udp,SV_P3
953,tcp,sv_P2
36032,tcp,monitoring
526,icmp,SV_P3
37923,tcp,web
62215,udp,sv_P5
29430,icmp,email
50192,icmp,sv_P5
45910,udp,monitoring
52929,icmp,db
62154,tcp,sv_P4
30025,icmp,web
4992,icmp,SV_P3
47708,icmp,db
39717,icmp,email
11376,udp,sv_P4
40876,udp,sv_P5
11794,udp,SV_P3
49310,tcp,sv_P1
23225,udp,sv_P2
16789,udp,sv_P1
58821,tcp,email
38935,udp,SV_P3
58514,tcp,web
10070,tcp,SV_P3
4255,tcp,email
10321,icmp,email
1819,udp,web
40244,udp,sv_P1
25828,tcp,db
57755,icmp,sv_P4
58042,udp,sv_P1
6241,icmp,sv_P5
13186,icmp,vpn
38873,icmp,sv_P5
2533,tcp,sv_P1
34340,tcp,sv_P4
50570,icmp,vpn
64967,icmp,monitoring
46090,icmp,sv_P2
17572,udp,SV_P3
56938,udp,vpn
43603,tcp,sv_P1
10295,tcp,sv_P5
26300,tcp,sv_P2
61907,udp,email
9074,tcp,sv_P2
5933,tcp,sv_P1
14998,icmp,email
14545,udp,web
48869,tcp,SV_P3
42136,icmp,SV_P3
40369,tcp,sv_P1
47610,udp,web
25956,icmp,sv_P4
10651,icmp,monitoring
39513,icmp,vpn
16005,tcp,sv_P2
51886,udp,sv_P5
20647,tcp,SV_P3
6641,icmp,sv_P5
49452,tcp,SV_P3
37226,icmp,SV_P3
46468,udp,email
583,tcp,sv_P2
29056,udp,sv_P2
24296,icmp,monitoring
47006,tcp,sv_P5
41414,icmp,db
52047,tcp,monitoring
24029,tcp,sv_P5
45623,icmp,sv_P5
34256,tcp,web
25773,tcp,web
51980,icmp,sv_P2
6343,icmp,email
11343,icmp,sv_P2
63157,tcp,web
4860,tcp,web
6174,udp,sv_P1
48151,icmp,email
51850,icmp,sv_P4
4842,tcp,sv_P1
55868,icmp,monitoring
28625,udp,monitoring
17137,icmp,sv_P4
24016,udp,sv_P4
1516,udp,db
42226,udp,monitoring
38817,icmp,email
11869,icmp,vpn
65066,tcp,web
24251,udp,sv_P2
59861,tcp,sv_P5
46795,udp,sv_P5
51883,udp,email
65197,icmp,email
61622,tcp,sv_P1
9419,udp,sv_P1
25415,udp,sv_P1
47127,udp,SV_P3
57089,udp,db
24447,tcp,SV_P3
21979,icmp,sv_P2
11681,tcp,monitoring
31656,tcp,monitoring
31045,udp,sv_P5
17391,tcp,db
9403,udp,sv_P2
25826,icmp,vpn
28408,udp,SV_P3
41272,udp,web
39681,icmp,db
34933,udp,monitoring
15642,udp,monitoring
12114,tcp,monitoring
63004,icmp,vpn
15692,tcp,db
42914,udp,email
55921,icmp,web
43962,tcp,sv_P2
18514,icmp,vpn
44426,udp,sv_P4
8550,udp,db
8705,icmp,vpn
50494,tcp,web
60100,icmp,sv_P4
47977,udp,SV_P3
25448,udp,db
41296,tcp,email
64203,udp,db
56943,icmp,sv_P1
39469,tcp,sv_P1
44775,icmp,sv_P5
45419,udp,web
45825,udp,sv_P1
10228,udp,web
6857,tcp,sv_P5
58639,tcp,sv_P5
15730,tcp,sv_P1
30339,icmp,vpn
4772,udp,sv_P5
61289,tcp,email
50754,tcp,sv_P4
27394,tcp,db
17617,icmp,sv_P5
48347,icmp,sv_P4
18953,icmp,sv_P5
19336,tcp,sv_P4
22648,icmp,sv_P2
36532,udp,email
57374,tcp,sv_P1
45412,tcp,sv_P5
51931,udp,sv_P4
50558,udp,vpn
54678,udp,vpn
33217,icmp,email
39883,tcp,vpn
60522,icmp,email
60909,icmp,web
7742,tcp,sv_P5
236,tcp,db
25373,icmp,SV_P3
38486,udp,db
11650,icmp,sv_P2
47981,icmp,vpn
58588,udp,monitoring
31283,udp,monitoring
41510,icmp,email
622,tcp,SV_P3
58011,udp,db
31232,icmp,email
50740,icmp,db
30640,udp,sv_P2
15181,tcp,vpn
1158,udp,monitoring
21834,icmp,sv_P2
60656,tcp,monitoring
35718,udp,email
46551,tcp,web
51997,tcp,web
50237,tcp,web
48724,icmp,SV_P3
38583,tcp,email
41827,udp,db
41245,tcp,email
388,icmp,email
28956,icmp,sv_P5
38501,tcp,web
36634,tcp,sv_P4
48392,udp,vpn
12207,icmp,sv_P2
20972,tcp,sv_P2
61284,icmp,sv_P1
64559,udp,vpn
8710,udp,db
28349,icmp,web
56023,udp,email
3733,icmp,sv_P2
49764,tcp,vpn
43963,udp,sv_P2
32701,tcp,monitoring
7164,udp,vpn
39166,icmp,web
5115,tcp,sv_P1
49786,tcp,sv_P5
60001,udp,sv_P2
49598,icmp,db
50735,udp,vpn
11761,udp,email
44206,tcp,db
10550,icmp,sv_P5
10137,tcp,sv_P1
1643,tcp,db
62328,icmp,monitoring
13273,udp,sv_P4
35359,icmp,SV_P3
18907,tcp,web
21764,udp,db
36663,tcp,web
55023,tcp,db
59819,udp,web
63259,udp,email
61489,tcp,monitoring
17679,icmp,sv_P4
32205,icmp,email
63948,tcp,vpn
54453,icmp,email
6214,icmp,sv_P2
9225,icmp,SV_P3
13576,tcp,monitoring
21300,tcp,sv_P4
61085,icmp,sv_P5
47368,udp,email
60692,tcp,monitoring
59234,tcp,monitoring
63500,tcp,sv_P1
37798,icmp,SV_P3
63660,icmp,db
43826,tcp,db
6951,icmp,sv_P1
45404,udp,web
50741,tcp,sv_P5
3140,tcp,web
564,icmp,email
33633,tcp,vpn
1174,icmp,sv_P4
24126,icmp,sv_P2
57427,udp,SV_P3
21354,tcp,sv_P2
62015,udp,SV_P3
56463,udp,sv_P1
61098,icmp,email
54300,icmp,db
31018,tcp,SV_P3
12686,icmp,sv_P5
13503,tcp,sv_P4
14041,icmp,monitoring
62151,tcp,monitoring
58041,icmp,sv_P1
27647,icmp,sv_P1
861,icmp,db
52327,icmp,monitoring
1909,tcp,sv_P5
56159,icmp,sv_P4
63022,udp,SV_P3
16412,tcp,sv_P5
27973,udp,monitoring
41493,udp,sv_P4
7596,icmp,web
51740,tcp,sv_P2
38631,icmp,SV_P3
27531,icmp,email
12290,udp,SV_P3
15976,udp,SV_P3
33935,tcp,SV_P3
26621,udp,monitoring
366,tcp,sv_P2
18006,udp,web
15529,udp,email
49210,tcp,monitoring
60294,tcp,sv_P5
55068,icmp,web
8704,tcp,email
55180,icmp,sv_P5
55616,tcp,db
38310,icmp,web
50169,udp,web
61269,icmp,sv_P1
21840,udp,web
44263,tcp,sv_P1
58190,tcp,vpn
30492,icmp,db
55654,tcp,web
56882,udp,sv_P5
25422,udp,sv_P5
37526,icmp,vpn
22290,udp,sv_P1
37207,udp,db
44387,tcp,web
2150,udp,sv_P5
47390,icmp,db
62892,icmp,web
22966,icmp,sv_P1
31364,udp,SV_P3
13336,udp,vpn
5583,udp,db
8232,tcp,sv_P5
6485,udp,db
54304,icmp,sv_P4
47058,tcp,web
23016,icmp,db
28042,tcp,vpn
31231,udp,db
7435,tcp,sv_P5
39435,icmp,vpn
65426,tcp,vpn
50634,tcp,monitoring
19551,udp,sv_P2
24776,icmp,email
48356,udp,sv_P2
17369,tcp,monitoring
13832,udp,sv_P4
36236,tcp,monitoring
656,tcp,monitoring
18623,tcp,sv_P4
19550,udp,sv_P1
64961,tcp,web
35150,tcp,sv_P5
62353,tcp,monitoring
20963,udp,sv_P4
32906,icmp,sv_P4
47186,udp,SV_P3
14937,udp,sv_P5
52936,icmp,sv_P5
21563,tcp,db
20560,icmp,email
20005,tcp,web
61644,icmp,sv_P5
15828,icmp,sv_P5
6691,tcp,SV_P3
45102,tcp,email
46278,tcp,sv_P5
6942,tcp,sv_P2
55001,udp,sv_P2
43483,udp,SV_P3
37389,icmp,db
42576,tcp,monitoring
2243,tcp,SV_P3
9061,tcp,monitoring
23996,tcp,sv_P1
11059,udp,sv_P1
33384,udp,sv_P4
64618,icmp,sv_P4
51899,udp,monitoring
22112,tcp,sv_P4
58081,tcp,vpn
46836,tcp,monitoring
46280,icmp,db
22347,tcp,sv_P2
22670,tcp,SV_P3
3177,udp,web
8875,udp,SV_P3
7600,tcp,db
48548,udp,sv_P1
23669,tcp,monitoring
53582,icmp,monitoring
12744,udp,SV_P3
62265,tcp,sv_P4
42707,icmp,vpn
28615,icmp,sv_P5
3995,tcp,SV_P3
61955,tcp,monitoring
46,icmp,SV_P3
48244,icmp,sv_P1
58487,icmp,sv_P4
38350,udp,SV_P3
48063,icmp,web
5123,tcp,web
22738,icmp,monitoring
14095,icmp,sv_P5
54388,udp,SV_P3
36868,tcp,sv_P5
2174,tcp,SV_P3
8340,icmp,monitoring
17313,tcp,email
5107,udp,email
45855,icmp,email
37528,tcp,sv_P1
56195,icmp,vpn
59881,icmp,vpn
726,icmp,email
59470,icmp,sv_P5
38216,udp,db
31046,udp,web
14724,tcp,sv_P4
21573,tcp,email
38869,icmp,web
5953,icmp,SV_P3
50044,udp,monitoring
55987,tcp,SV_P3
32718,tcp,email
11172,udp,sv_P4
5192,icmp,email
35696,tcp,db
23426,icmp,email
31466,tcp,sv_P5
1363,tcp,email
5034,icmp,SV_P3
42417,udp,sv_P2
54514,icmp,vpn
35751,udp,monitoring
21176,tcp,db
45507,icmp,SV_P3
153,tcp,sv_P2
29142,icmp,vpn
60114,tcp,db
62579,icmp,email
23510,tcp,db
34248,udp,sv_P2
41898,icmp,sv_P5
11226,icmp,web
17378,tcp,sv_P4
6667,udp,monitoring
10222,udp,web
18352,icmp,email
17897,icmp,sv_P5
12631,udp,sv_P4
54933,icmp,sv_P1
18801,udp,web
55283,udp,web
40756,udp,monitoring
42429,tcp,sv_P4
2398,tcp,db
54605,icmp,sv_P1
34365,tcp,web
12714,tcp,web
30084,tcp,vpn
57008,tcp,db
52803,udp,monitoring
18978,tcp,monitoring
3519,tcp,sv_P1
41109,icmp,sv_P1
21729,icmp,sv_P4
1699,tcp,sv_P2
306,icmp,sv_P1
8231,tcp,web
20500,icmp,sv_P5
35585,udp,SV_P3
29373,icmp,sv_P1
37808,tcp,SV_P3
16406,udp,sv_P1
39110,udp,email
3653,icmp,db
20682,tcp,vpn
60461,tcp,vpn
43604,tcp,monitoring
46576,tcp,sv_P4
54225,icmp,SV_P3
24465,tcp,db
14898,udp,web
36816,icmp,sv_P2
56752,tcp,sv_P5
52081,icmp,sv_P2
12806,icmp,sv_P5
35129,tcp,SV_P3
18808,tcp,email
29704,icmp,sv_P5
27067,icmp,SV_P3
2200,tcp,db
28641,tcp,web
28351,tcp,vpn
38579,icmp,monitoring
19475,icmp,db
8023,icmp,email
27639,udp,sv_P4
55228,tcp,SV_P3
41360,udp,vpn
43820,tcp,SV_P3
19188,udp,email
61828,icmp,vpn
53228,icmp,sv_P1
27192,tcp,web
8641,icmp,db
64797,icmp,sv_P4
43030,udp,web
1662,tcp,vpn
16354,icmp,sv_P4
58327,icmp,sv_P4
49395,icmp,monitoring
59331,udp,vpn
2635,udp,sv_P1
41502,tcp,vpn
46357,udp,db
3299,tcp,monitoring
55765,tcp,web
1769,tcp,sv_P1
63790,icmp,db
39094,icmp,vpn
43475,tcp,SV_P3
14713,tcp,monitoring
15110,udp,monitoring
55874,icmp,sv_P5
4007,udp,monitoring
25994,udp,SV_P3
25045,icmp,sv_P4
29690,tcp,sv_P4
5630,tcp,web
6127,udp,db
57690,tcp,sv_P5
20590,udp,sv_P2
4015,udp,SV_P3
40623,icmp,db
50679,icmp,web
7536,udp,web
61199,icmp,sv_P4
56039,udp,sv_P5
11132,tcp,monitoring
28616,tcp,web
14516,icmp,sv_P4
14056,icmp,db
30651,tcp,vpn
12845,udp,sv_P2
64627,udp,sv_P2
57946,icmp,sv_P4
13400,icmp,web
33345,tcp,web
54505,udp,sv_P1
3448,udp,db
7596,icmp,sv_P1
62469,tcp,sv_P4
26461,icmp,sv_P5
54405,tcp,web
54055,udp,sv_P1
24123,tcp,sv_P5
8386,icmp,sv_P2
15965,icmp,db
30479,udp,sv_P5
13805,udp,vpn
24563,udp,sv_P1
63712,icmp,email
12275,tcp,web
34,tcp,vpn
64322,icmp,sv_P4
46179,icmp,web
44984,icmp,monitoring
1421,icmp,SV_P3
54836,udp,sv_P5
24089,udp,monitoring
38598,icmp,web
1445,icmp,db
2215,icmp,vpn
32305,tcp,SV_P3
57172,tcp,web
38697,icmp,vpn
27202,icmp,monitoring
39371,icmp,monitoring
46485,tcp,sv_P2
5284,tcp,sv_P5
40972,icmp,sv_P4
45617,tcp,sv_P1
187,udp,vpn
49814,tcp,sv_P4
53553,tcp,db
18396,icmp,sv_P1
57300,udp,sv_P1
4204,icmp,sv_P4
53332,icmp,db
18275,icmp,sv_P5
64305,icmp,sv_P4
6410,tcp,vpn
23011,udp,sv_P1
56241,udp,sv_P2
16815,icmp,db
19484,udp,monitoring
5379,udp,web
13871,tcp,sv_P4
62999,tcp,db
64125,icmp,SV_P3
24651,icmp,SV_P3
42782,tcp,sv_P2
7441,icmp,sv_P5
43675,tcp,sv_P5
52096,udp,sv_P5
43347,tcp,sv_P5
27583,icmp,web
13795,tcp,web
35939,tcp,sv_P2
23053,tcp,email
57435,icmp,db
35071,tcp,sv_P4
42178,tcp,monitoring
18137,tcp,email
63448,icmp,sv_P5
2615,icmp,vpn
12100,tcp,db
61687,icmp,sv_P4
1230,udp,db
60587,tcp,db
6506,udp,sv_P1
52432,tcp,email
42789,udp,SV_P3
40320,tcp,sv_P1
32438,udp,vpn
65293,tcp,web
42563,icmp,SV_P3
55765,udp,sv_P5
4565,udp,web
52079,udp,sv_P5
60719,tcp,sv_P4
34922,tcp,db
6530,icmp,sv_P4
7137,tcp,monitoring
54125,tcp,vpn
38583,udp,sv_P5
52259,udp,db
48791,icmp,SV_P3
2557,tcp,email
48896,udp,sv_P2
49700,udp,db
7114,udp,web
19084,tcp,vpn
19555,udp,monitoring
23516,udp,sv_P1
45325,tcp,sv_P1
49832,udp,sv_P4
53715,icmp,db
56939,udp,monitoring
14844,tcp,sv_P4
43437,icmp,db
35092,udp,vpn
3503,udp,vpn
64779,udp,sv_P2
57917,icmp,web
65348,icmp,sv_P4
2609,udp,email
63334,tcp,SV_P3
45528,udp,db
31874,tcp,SV_P3
29406,icmp,sv_P2
6025,tcp,web
54596,udp,SV_P3
43856,udp,sv_P4
18519,udp,sv_P4
50802,udp,vpn
55156,icmp,db
22467,tcp,vpn
38453,icmp,sv_P1
26503,tcp,sv_P5
17313,icmp,sv_P4
25672,icmp,vpn
39088,udp,sv_P5
50252,udp,monitoring
54243,udp,monitoring
41412,udp,sv_P2
4347,icmp,sv_P4
24672,udp,web
24691,tcp,sv_P2
19042,udp,sv_P2
47235,tcp,sv_P5
51461,icmp,vpn
57286,udp,sv_P2
50152,udp,vpn
58778,udp,sv_P1
11186,tcp,sv_P5
39182,icmp,sv_P2
10091,icmp,SV_P3
24387,udp,SV_P3
38169,udp,sv_P5
11111,udp,vpn
62551,tcp,db
43508,icmp,db
28601,tcp,vpn
13492,udp,sv_P1
16782,tcp,sv_P5
98,icmp,sv_P1
48049,icmp,SV_P3
10661,udp,vpn
18209,icmp,web
8722,udp,web
11768,tcp,sv_P4
21806,udp,vpn
49971,udp,vpn
28259,tcp,SV_P3
54209,tcp,sv_P4
41687,icmp,db
32729,icmp,sv_P1
11542,icmp,monitoring
44515,icmp,db
49702,tcp,monitoring
38696,icmp,sv_P2
17940,icmp,sv_P4
31869,icmp,sv_P4
62015,udp,monitoring
7516,icmp,web
3602,udp,sv_P4
54811,icmp,vpn
3215,udp,web
2007,icmp,sv_P1
43013,tcp,sv_P2
57417,icmp,SV_P3
425,tcp,web
17592,udp,vpn
59131,udp,vpn
22910,udp,db
18791,icmp,sv_P2
1618,udp,sv_P5
15846,tcp,sv_P5
43733,tcp,web
52870,icmp,sv_P1
54263,tcp,sv_P2
65241,udp,sv_P5
20465,tcp,email
40252,udp,sv_P1
4246,icmp,web
17347,udp,monitoring
5183,udp,sv_P4
22018,icmp,sv_P5
10205,udp,sv_P1
13011,tcp,web
64328,icmp,db
41032,udp,sv_P1
2547,icmp,web
39705,icmp,SV_P3
37339,tcp,sv_P5
14936,tcp,sv_P2
4017,icmp,vpn
64080,udp,SV_P3
50412,udp,monitoring
35405,udp,web
214,udp,web
62809,udp,vpn
15860,tcp,email
36696,udp,web
24345,udp,SV_P3
36488,tcp,db
49340,tcp,monitoring
37671,tcp,SV_P3
39990,icmp,sv_P4
36854,icmp,monitoring
32273,udp,sv_P2
4499,udp,sv_P2
21239,tcp,vpn
52180,udp,SV_P3
46464,icmp,monitoring
24860,icmp,email
10635,tcp,SV_P3
26165,icmp,sv_P5
48641,tcp,db
35388,udp,web
8635,icmp,sv_P1
59084,udp,sv_P5
28914,tcp,email
32600,tcp,email
9120,tcp,monitoring
60468,tcp,monitoring
60538,udp,vpn
65290,udp,vpn
41631,udp,sv_P4
18852,icmp,sv_P4
41406,icmp,sv_P5
41317,icmp,db
15292,icmp,monitoring
7617,icmp,email
37945,icmp,sv_P5
40293,icmp,db
30062,tcp,db
24413,udp,db
34627,tcp,web
53291,udp,web
56273,udp,sv_P2
20375,udp,SV_P3
52242,icmp,monitoring
38444,icmp,email
24674,udp,sv_P4
60543,udp,SV_P3
62302,icmp,sv_P5
21971,tcp,sv_P1
59215,udp,web
53103,tcp,sv_P1
23323,udp,sv_P5
58972,tcp,db
62491,udp,sv_P4
50116,udp,sv_P1
10481,icmp,vpn
58186,tcp,SV_P3
53437,tcp,email
19602,icmp,SV_P3
54742,tcp,sv_P5
56040,udp,sv_P1
18987,udp,SV_P3
24636,tcp,SV_P3
15849,tcp,web
40730,icmp,sv_P2
39471,icmp,sv_P4
11682,icmp,web
3711,icmp,SV_P3
44590,icmp,sv_P5
